قد	لقد
دفن	دفنه
مشكلة	مشكلةَ
بضع	ببضعة
ملاحظة	ملاحظاتي
منع	منعت
فصل	فصله
أوجد	أوجدت
سامي	السامية
مصاص	مصّاصي
احتجاب	الحاجب
حان	وحان
نفذ	أنفذ
خدمة	بالخدمة
عائد	عائدون
بداية	بدايةً
مسمار	مسامير
إشاعة	الإشاعة
أون	أوني
تسنى	يتسنّى
محارب	محاربين
عانى	يُعاني
مضمون	مضمونة
كان	سأكونُ
دقيق	لدقيقه
انكسر	تنكسر
صبي	صبيا
مخرج	مخرجاً
صديق	صديقتين
طباع	الطباع
هوية	الهويات
تكلم	تكلّمت
تراجع	نتراجع
نبتة	النبتة
حزين	حزينه
أراهن	وأراهن
سهل	السهول
خليل	خليلها
عاري	العاري
أثري	أثرية
حاضر	الحاضرين
فوضي	الفوضي
خلاصة	الخلاصة
تكلم	التكلّم
مليء	مليئاً
ضد	ضدّي
ديناميت	الديناميت
اتضح	واتضح
تناسب	تتناسب
زيارة	لزيارتنا
كلام	كلامها
ظن	يظنه
جلي	الجلي
إن	إنكما
ألقى	ألقينا
منوال	المنوال
تركيز	تركيزي
قال	ليقوله
إختيار	إختيارك
جزائر	الجزائر
مال	بمال
تكييف	التكييف
سام	السام
شاهد	شاهدتُ
إنقاذ	لإنقاذي
باربر	باربرة
لغة	لغتك
ترك	الأتراك
أمسك	أمسكتُ
قاعة	فقاعات
علاج	علاجها
اندي	باندي
أخطأ	أخطئ
أخ	الأخوان
هاتف	للهاتف
ضاجع	ضاجعتها
قتل	يقتلهم
بكى	بكت
تخطيط	بالتخطيط
وفر	نوفر
متواضع	متواضعة
قدم	سنقدم
قبل	يقبلون
صاعد	فصاعدًا
قصير	قصيراً
بوتاسيوم	البوتاسيوم
أمر	امره
أنس	أنسان
دراجة	دراجته
طلب	وتطلب
مكتب	مكتبنا
طراز	طرزان
حسنأ	حسنأً
مسكن	مسكنات
أفتقد	سأفتقد
أب	أبوها
رفقة	رفاقه
الذي	الذيّ
أربع	الاربعة
تباهي	التباهي
طرد	طردنا
فاكهة	فواكه
طريقة	بطريقته
فكر	ففكرت
سرعة	سرعتها
تعدية	تعديت
قاتل	بقاتل
جزء	وجزء
وقت	الوَقت
ناجي	ناجين
قسط	قسطا
طفل	طفلكِ
صناعى	الصناعى
أقل	وأقل
ضحك	ضحكات
إنجيل	الانجيل
حاسوب	حاسوبه
جنس	الجنسين
إنجاز	لإنجاز
هدف	تهدف
لكن	لكنّكَ
سبب	بسببِ
عمل	عملتِ
أخبر	يخبره
إختبار	لإختبار
محاكاة	المحاكاة
فيروس	الفيروسات
لغة	لغات
بين	بيـن
نافورة	النافورة
جائع	جائعه
سلام	والسلام
إرسال	الارسال
تاريخ	التواريخ
دبوس	الدبوس
جلالة	جلالتكِ
حفر	أحفر
ذقن	ذقنك
صنع	صنعًا
أمريكي	الأميركية
مرض	لمرض
ستون	وستون
جابي	جاب
ساخن	ساخناً
ما	مّا
أخذ	ونأخذ
شاشة	شاشات
نال	ستنال
ضيع	ضيعت
مر	مروا
جاد	جادا
متواجد	متواجدين
إنكلترا	انكلترا
ناقش	تناقشنا
هتاف	الهتاف
اعتبر	نعتبر
كابل	الكابل
تقدم	للتقدم
ارأي	ارأيت
برنامج	للبرنامج
هنا	هـنـا
تعلم	تعلَم
أهل	الأهل
أبد	أبداَ
إعدام	الاعدام
كتب	كتبتُ
إيجابي	الإيجابي
كان	كنـا
خالة	خالتك
مختبئ	مختبئة
مأكول	المأكولات
تحقيق	للتحقيقات
إزالة	إزالته
فول	فولي
اشتعل	يشتعل
دمر	ستدمر
أداة	الادوات
قروي	القرويين
إثارة	الاثارة
عرف	أعرِف
شوق	شوقاً
إهتمام	إهتمامي
مثير	المثيرات
أتى	اتوا
جوليان	جوليانا
مجروح	مجروحة
حكم	حُكم
مسدس	مسدّس
مكالمة	مكالمتي
سر	سرّاً
شرح	لشرح
استلقاء	الاستلقاء
فقاع	الفقاعات
مسح	أمسح
بنك	بنوك
إغلاق	لإغلاق
عمل	نَعْملُ
خوض	لخوض
فعل	فعلتموه
حمى	تحميه
أن	أنـّه
احظ	الاحظ
ذكي	وذكية
صدم	صدمه
بقي	تَبْقى
مبيت	المبيت
غبي	الغبيّ
ناعم	الناعمة
حدث	للأحداث
تصوير	تصويره
صف	صفنا
إتجاه	الإتجاهات
طريقة	طريقتها
وجهة	الوجهة
مراقبة	مراقبته
قال	قُلْ
شهر	بشهر
عائلة	والعائلة
رئيس	ورئيس
إعادة	لاعادة
سوي	سويًّا
قال	واقول
فكرة	فكـرة
قاتم	القاتم
إجمالي	الإجمالي
أوقف	يوقفه
جيش	جيشه
رأى	رَأى
انتظام	بانتظام
كريسمس	الكريسمس
ورقة	أوراقي
ممتاز	الممتازة
جمبري	الجمبري
تسلسلي	التسلسلي
إعطاء	بإعطائي
تخلص	تخلصنا
واقي	الواقية
عنى	يعنـي
مالية	الماليّة
معارض	معارضة
مشروع	لمشروع
غاف	غافين
إقتحام	الإقتحام
سيرة	سيرتك
مغامرة	مغامرات
إختصار	بإختصار
رئاسي	الرئاسية
مطلق	مُطلق
حصل	ويحصل
سيارة	سيارتكِ
تسوية	لتسوية
تصادم	التصادم
سوء	ولسوء
ظهر	ظهرا
محل	لمحل
مميز	مميزا
بذيء	بذيئة
يوم	أيامِ
ار	اره
أمريكي	امريكية
ثم	ثُم
ل	ول
اعترف	تعترفي
سمكة	الاسماك
تواضع	التواضع
تاين	ستاين
عاش	وتعيش
رب	ربّ
قتل	قتلكِ
راقب	تراقبني
انصرف	أنصرف
تجاهل	تجاهلت
بصري	البصرية
عبارة	العبارات
قائمة	القوائم
اكتشف	يكتشفون
جلسة	لجلسة
مفهوم	مفهومة
لم	لمَّ
دبابة	الدبابة
مثالي	مثاليّ
جورجي	جورجينا
ذهب	وسنذهب
انبعث	تنبعث
في	فِي
أخبر	لأخبر
ارتدى	يرتديها
موقف	بموقف
أخذ	تأخذك
مقدس	المقدّسة
ساعد	نساعده
انسحب	انسحبت
إضراب	الإضراب
اسئله	الاسئله
قدم	قدّمت
رجل	الرجلُ
أخرب	يخرب
مخيف	مُخيف
أخبر	تُخبريني
هدنة	الهدنة
أخذ	سأخذه
احتياطي	الاحتياطية
ذهب	ذهبتَ
قاتل	وقاتل
همس	تهمس
انتهى	وسينتهي
أغنية	الاغاني
ستكونين	وستكونين
خسر	سيخسر
انطلق	انطلقت
سكين	بالسكين
ساعد	يُساعد
إعتاد	إعتادت
دخول	دخولها
مستحضر	مستحضرات
أسال	أسالك
مجرد	مُجَرَّد
أخبر	أخبروا
خص	يخصّ
محافظ	المحافظين
عشر	عشرَ
سيد	سيدنا
أقراط	الأقراط
ميز	تميز
أتصور	اتصور
جماعة	جماعات
أزرق	ازرق
ضع	ضعت
بلاستيكي	بلاستيكية
بشرة	البشرى
غربى	الغربى
هدف	هدفا
أخذ	أخذتي
نادم	نادمة
صدق	سيصدق
شجار	شجاراً
كبسول	كبسولة
حسبة	حسبتك
جاهد	جاهدة
دفع	تدفعه
في	فيهـا
هراء	الهُراء
نتيجة	بنتيجة
إسم	بإسمي
متى	متـى
احترم	أحترمك
حالة	حالتنا
راجع	نراجع
تطور	يتطور
مالي	ماليا
صعب	تصعب
علاقة	علاقتهم
ساعد	ساعدتها
حرك	الحركه
أرسل	يرسلوا
اكتشف	لأكتشف
موقف	موقفاً
مخافة	مخاوفي
ب	بِها
قرأ	تقرأه
اشترى	اشترينا
قرش	القروش
قدر	تقدرين
مروحي	المروحيات
مستعمل	مستعملة
معين	معيّنة
مسكن	المسكنات
أختيار	الأختيار
اخا	اخاك
رغب	أرغبُ
اندورا	باندورا
أنشأ	أنشأت
مؤمن	المؤمنين
قادم	قادما
قال	تقال
نسي	نسيتها
ضحية	ضحيت
حديقه	الحديقه
بدأ	بدأته
عارض	عارضات
طور	أطوار
قريب	أقرباء
عزاء	العزاء
عمود	أعمدة
نحن	فنحنُ
أخذ	خذنا
مصاب	المصابة
مايك	مايكون
شامبو	الشامبو
انظر	انظـر
في	فيـه
سعيد	سعيدون
سلبي	السلبي
سلف	أسلافنا
مقزز	مقززة
مسابقة	بمسابقة
محترف	محترفون
كيش	كيشا
محدود	المحدودة
قلب	بقلبك
قاضي	للقاضي
إسم	بإسمه
عمر	عمرنا
الذي	كالذي
شاهد	سنشاهد
قتى	وقتى
أصبح	سيصبحون
ود	أوّد
ضعيف	ضعيفا
مكن	تمكننا
علة	بفعلته
إقناع	لإقناع
مرعب	المرعبة
مادة	المادةِ
رئيس	رئيسا
ابتدائي	الابتدائية
نجا	بينج
أخبر	أُخبرك
وحدة	وحدتي
تسرب	التسرب
عرف	أَعْرفْ
التزم	نلتزم
ثلج	بالثلج
آخر	والآخرون
أدى	ستؤدي
حان	للحانة
أبقي	أبقيها
أفعل	أفعلت
حمل	حملك
شجاعه	الشجاعه
ظن	تظنينه
مناسبة	مناسبات
مزح	نمزح
مثير	ومثيرة
نار	ناراً
صديق	صديقكم
يوتيوب	اليوتيوب
أعطى	أعطوا
حل	ستحل
شراء	شرائه
راود	تراودني
مجفف	المجفف
قياسي	القياسية
أمر	والأمور
تكرار	تكراراً
حكم	حكمي
عرف	أَعرفُ
تخييم	للتخييم
ناخب	الناخبين
ذلك	بذلكَ
سير	للسير
انعرف	لانعرف
تخرج	تخرجه
حديث	الأحاديث
جريمة	جرائمه
ليلة	وليلة
سار	تسر
مسدس	بالمسدس
رأى	رأتني
مثل	يمثّل
إكتئاب	الإكتئاب
دعاء	الدعاء
قرد	قرود
أراد	أُريدك
فوه	فوهة
قاتل	للقاتل
اعلم	اعلمك
تسبب	ستتسبب
تقيء	التقيؤ
أفسد	سيفسد
إن	إنـّها
منجم	مناجم
أقام	تقيمين
سفينة	سفينتنا
جمال	جمالها
فقد	تفقدين
صباحي	الصباحية
أراد	تريـد
يوم	بأيام
مدين	مديناً
مراقبة	بالمراقبة
مخدر	مخدرة
أخرج	لأخرج
أمل	أملاً
تنكر	التنكر
قارب	بالقارب
واجب	واجباتك
لعل	لعلّه
بريء	البريء
لاحق	تلاحق
تقرير	لتقرير
عرف	تعرفونه
عقب	أعقاب
مستعمر	المستعمرات
تعادل	التعادل
صانع	صانعة
شعور	للشعور
حي	نحيا
مرحلة	المراحل
عمل	لعملي
أرض	ارضاً
أوف	اوف
أخبر	ستخبرنا
خاطف	الخاطفين
احتساء	لاحتساء
أنقذ	أنقذه
إيقاف	لإيقافه
إخرج	إخرجوا
أقر	أقرّ
حساب	حسابنا
رجل	رجلُ
كلف	سيكلف
تناول	تتناولين
آتي	الآتي
غير	لغير
شعر	للشعر
شعر	وتشعر
تساءل	نتساءل
عقل	بعقلي
وضع	أوضاع
أسرع	يسرع
مالك	مالكة
معاملة	معاملتك
اباحي	الاباحية
جراحة	لجراحة
غذاء	للغذاء
أظهر	تظهرين
رباط	الرباط
سماح	والسماح
اضطر	اضطرت
سدد	يسدد
إلى	إليهِ
كاثوليكي	كاثوليكية
فتحة	الفتحات
صدري	الصدرية
مخاض	المخاض
ضحية	ضحيته
أحق	أحقًا
كلام	بكلامي
ولي	كولي
مال	يميلون
تخريب	التخريب
قلم	أقلام
أن	وأنّك
اختبأ	نختبئ
إضافه	بالإضافه
قيء	القيء
عرف	أعرفكم
هاري	هاريت
اعتقد	سيعتقدون
درامي	درامية
ذهب	تذهبِ
كلي	الكليه
قتل	نقتلهم
مثل	نمثل
راوند	رأتك
حامل	الحوامل
غرض	أغراضها
توقع	توقّع
قنبل	قنبله
أخبر	تخبرين
عبار	عباره
ذهاب	ذهابنا
ضرب	يضربون
ليلة	الليلـة
مقبول	مقبولاً
إترك	إتركه
ابتسم	ابتسمي
إزالة	إزالتها
مسرح	للمسرح
فحص	فحصها
مطعم	للمطعم
من	لمَن
حياة	الحيوات
مراجعة	بمراجعة
مهمة	للمهمة
شجاع	شجاعا
تجول	نتجول
أذكى	اذكى
مواطن	مواطني
مركز	مركزة
جيد	الجياد
قوة	وقوة
ضرب	بضربي
جزء	للجزء
توقف	تتوقفين
شجع	تشجع
وضع	يضعها
نفسي	نفسيا
تعزيز	تعزيزات
تنظيم	لتنظيم
تغير	بتغير
ذاكرة	ذاكرتها
انضم	سينضم
إكمال	لإكمال
يائس	يائساً
سوء	سوءً
مع	معـه
مزعوم	المزعوم
منزل	منازلكم
فيضان	الفيضان
نقد	نقوده
عطل	عطله
أضاف	نضيف
مشى	سأمشي
نجى	بينجي
مشهور	مشاهير
بشع	البشع
حضور	بالحضور
أكن	أكنتَ
ظد	ظڈ
تفتيش	لتفتيش
ركض	بالركض
أسلوب	الأساليب
باوند	باوندات
سبب	بسببكِ
بعض	بعضَ
تزوج	تتزوجين
نفس	نفسهم
منار	منارة
لهو	اللهو
ثقة	بثقة
سرقة	وسرقة
جامح	جامحة
سخاء	بسخاء
شم	الشم
مكان	بمكانها
وضع	بوضعها
أشعل	تشعل
شاذ	شاذا
عشاء	بعشاء
مراوغة	المراوغة
قريب	قريبك
رابح	الرابح
طاقة	طاقتها
استطاع	سنستطيع
إضافة	بإضافة
شرب	تشربه
نوع	نوعُ
شجرة	شجر
ساق	ساقيه
استطاع	تستطيعان
أم	كأم
إعلان	الاعلانات
رز	الرز
ملاذ	الملاذ
طيب	طيبين
شأن	شئون
ضعو	ضعوه
نحى	تنحي
ويل	لويل
أخت	لأختي
إستعمال	بإستعمال
مليون	مليوناً
قطع	قطعها
ليت	ليتك
أف	الأف
كافح	تكافح
صفقة	بصفقة
محطة	لمحطة
أراد	يريدوننا
مفترس	المفترس
دعا	ودعا
قابل	قابلوا
سيرة	سيرتي
ب	بِـ
شيفر	شيفرة
أعاد	نعيده
جمع	تجمعنا
عت	بعتها
أخذ	تَأْخذُ
عرف	تعرّف
مغادرة	مغادرتي
أقل	أقله
جلب	الجلبة
محرج	محرجا
أعطى	لأعطيك
تحسن	التحسن
بيت	بيتِ
بيرت	بيرتا
حب	حبّك
غدا	يغدو
سفر	بالسفر
صبي	الصبيّ
حسن	حسناّ
ثاني	ثانيًا
وقاحة	بوقاحة
تقرر	تقرري
توا	توّاً
ودع	يدعوا
جرذ	جرذان
تم	تمَّ
روح	روحاً
كي	كيه
علي	علـي
مرحلة	لمرحلة
أساسي	الأساسيات
اشترك	أشترك
ذكر	نذكر
كير	كيران
ذكر	ذكور
نزيل	النزلاء
سعى	بوسعى
عشب	الاعشاب
علي	علـيّ
رقابة	الرقابة
عمل	ستعملين
دش	الدش
اتجه	أتجه
أكل	بالأكل
غضب	ستغضب
سلاح	للأسلحة
مور	مورت
رجل	الرّجال
سبق	تسبق
تحدث	وأتحدث
حسب	فحسـب
أخذ	بأخذها
عرض	سيعرض
عم	عمتِ
أملى	تملي
حرارة	بحرارة
أخبر	وأخبرته
هان	هانـك
قدرة	قدرتها
أفعل	وأفعل
زرع	تزرع
بيئي	البيئية
جولة	الجولات
تركيب	التركيب
سنة	سَنَة
تدريب	لتدريب
بدائي	البدائية
وحيد	الوحيدان
أفضلية	الأفضلية
أراد	يُريدونَ
لحم	باللحم
أجاب	الأجابة
سري	السرّي
عجز	تعجز
قائد	قائدك
نظام	والنظام
أصر	أصرّ
منح	منحها
قارن	تقارن
وضع	للوضع
متبرع	المتبرع
إتفاق	إتفاقنا
الب	كالب
رأى	تره
مدين	مدينٌ
تابع	يتابع
رائحه	الرائحه
دخل	دخلتِ
ذهاب	الذّهاب
اشتكى	يشتكي
حراره	الحراره
شفقه	للشفقه
لدى	فلديه
أصغى	يصغي
نال	نالوا
مولود	المولود
تمرن	تتمرن
جين	الجينية
سري	سريه
جويه	الجويه
أخ	أخاكِ
جزيره	الجزيره
عين	للعين
موطن	موطنك
شق	الشقه
مخابرة	مخابرات
أمر	يأمر
نوم	نوماً
بطل	كبطل
صوب	تصوب
حصل	نَحْصلُ
عنصري	العنصري
صياد	الصيادون
واحد	كواحد
تعلم	للتعلم
وجد	ستجدون
مكعب	مكعبات
كسول	الكسول
رأى	ترانا
صعود	للصعود
شديد	شديداً
حظر	الحظر
حصل	سَأَحْصلُ
مائي	مائية
آنسة	والآنسة
إيطالي	إيطالية
برشلونه	برشلونة
سر	أسرارك
تنفس	التنفّس
كلاسيكي	الكلاسيكي
ب	بنـا
طائرة	للطائرة
أرسل	وأرسل
حظ	حظّاً
مملكة	مملكتي
أرواح	ارواح
خبيث	خبيثة
طريق	طريقكم
ترك	لنترك
ليس	لَيسوا
ساغ	ساغا
فصل	للفصل
أحب	أحبني
إن	إنيّ
بنتاغون	البنتاغون
عبث	يعبثون
ناحية	النواحي
عاري	عاريا
مصاص	مصاصين
توقف	توقفتِ
ربان	الربان
راود	راودتني
كنيسة	بالكنيسة
دفتر	الدفتر
سيد	وسيدة
عودة	بعودة
جرب	جربنا
كافة	كافّة
توقع	توقّعت
قلب	بالقلب
ربط	ربطه
صحبة	الصحبة
عجز	عجزت
نقص	ينقصني
أخذ	سنأخذها
أنجز	تنجز
بصري	البصري
قذر	قذراً
فردوس	الفردوس
حمل	يحملها
تهرب	التهرب
إضطراب	الإضطرابات
ريستو	بريستو
مساعدة	مُساعدتي
أشبه	يشبهه
فعلي	فعليًّا
نائم	نائمه
ان	انّ
مقاطعة	لمقاطعة
جعل	سيجعلها
محل	محلها
جيش	جيوش
عبث	تعبثين
قفل	أقفال
عشيق	عشيقها
إمرأ	الإمرأةِ
كي	كْي
أكر	وأكره
اتصل	اتصلتِ
أفقد	تفقدها
وجد	وَجدَ
كاكاو	الكاكاو
عظيم	عظيمًا
امضي	امضيت
حيلة	حيل
اتصل	يتصلوا
شاهد	لنشاهد
اطلاق	باطلاق
أوقف	أوقفنا
شظية	الشظايا
كثيف	كثيفة
هرب	لنهرب
عود	للعوده
عصي	العصي
استوعب	تستوعب
أنقذ	أنقذوا
شخص	الشخصان
بتة	البتّة
إنس	لأناس
رسام	الرسام
أنسى	سأنسى
اختار	تختارين
أخوة	أخوتي
رؤية	رؤيتكَ
شاهد	ونشاهد
تأثير	تأثيره
أداة	اداة
إجراء	اجراءات
اعتقاد	اعتقادك
مشى	المشى
إنشاء	لإنشاء
تغير	يتغيرون
أمني	أمنيتي
قدم	قدمتها
سنة	السَنَة
مجهول	المجهولين
مرأب	المرأب
سن	السنّ
قبضة	قبضتي
دق	دقّ
موعد	موعدها
متدرب	المتدربين
مرض	مرضاك
ولادة	ولادته
قافلة	القافلة
مشى	تمشين
كراج	الكراج
وسيلة	كوسيلة
لاح	يلوح
غني	غنيا
حكم	الحُكم
مقياس	المقياس
سمع	ستسمع
هز	يهز
شاحب	شاحبة
تأريخ	التأريخ
مصدر	مصدره
انزلق	ينزلق
عامل	العوامل
سوى	سواه
أمريكي	الأمريكيّة
اعتقد	ستعتقد
جميل	جميلين
صنف	الصنف
عشيق	عشيقتي
عقب	تعقّب
صمت	يصمت
مزيد	بمزيد
مناسب	مناسبه
ثريا	ثرياً
احتاج	ويحتاج
هجوم	بهجوم
اصعد	اصعدوا
عنى	يعنيني
أراد	تريدهم
ساكن	ساكنة
باراك	باركك
جني	الجنية
مخبول	المخبول
أنزل	أنزلوا
وجد	وتجد
إحتمال	الإحتمال
جوع	جوعًا
تركيز	بالتركيز
حكم	أحكام
عائلة	بعائلتك
صنع	سنصنع
تدريب	بالتدريب
حضور	لحضوركم
غضب	والغضب
تعرض	يتعرضون
فكر	تفكّرين
مانع	تمانعون
أطلق	سيطلقون
موسيقى	والموسيقى
ماذا	مـــاذا
لاحق	لاحقاَ
صورة	صورا
وكيل	وكيلة
مجلس	للمجلس
قضاء	بالقضاء
غادر	يغادروا
إنفجر	إنفجرت
أن	فأنك
رول	رولي
متوتر	متوترا
شهر	شهران
جيش	الجيوش
معجب	معجبٌ
قرأ	سأقرأ
منار	المنارة
ارتجف	ترتجف
اصغ	اصغِ
زورق	الزورق
مريض	مريضتي
خندق	الخندق
هاجم	يهاجمون
امتلك	يمتلكها
ملزم	ملزمة
ألغى	نلغي
أدى	تؤدى
قرية	قريتي
انتظر	أنتظرت
أقلق	تقلقِ
جمع	جمعها
سماع	سماعهم
أعطى	نعطيها
إلغاء	لإلغاء
رضى	رضا
زيادة	الزيادة
دعوة	دعوتنا
إمداد	إمدادات
آل	آلا
ارتكب	نرتكب
أراد	ارادوا
خيار	خيارًا
أكل	أكلنا
عبقري	العباقرة
مستعد	مُستعدة
هلع	الهلع
متأكد	مُتأكّدة
منزل	لمنزلنا
تحويل	تحويلها
راكب	ركاب
وشيك	وشيكاً
ظاهرة	الظاهرة
شرب	شربنا
حفل	بالحفل
محرقة	المحرقة
بغيض	بغيضة
مؤشر	المؤشرات
أصاب	أصبتِ
مطالبة	المطالبة
بلد	بلادك
أدنى	أدني
أكد	أؤكّد
سوفيتي	السوفييتي
دو	بالدوين
نية	بنيته
تعامل	تعاملنا
قلل	قللت
تصور	أتصوّر
معاملة	المعاملات
محلف	المحلّفين
ليس	أليسا
أحب	نحبها
متسربل	سرت
وصول	وصولهم
مهر	المهر
أرسل	ترسلي
كبر	كبرنا
كونو	كونوها
مصدر	مصادرنا
زهايمر	الزهايمر
عتيق	العتيقة
سماء	بالسماء
دبابة	دبابات
ساعي	الساعي
مركز	المراكز
ضرب	ضربنا
بدأ	يَبْدأُ
ألعوبة	الألاعيب
كآبة	الكآبة
بل	بلين
زعم	يزعم
وجد	وجدك
ملبس	بالملابس
رجا	أرجـوك
دفع	ستدفعين
مختلف	مختلفتين
أفترض	وأفترض
حرق	حرقت
تب	تبّا
دودي	الدودية
أن	أننيّ
محتمل	المحتملين
أنقذ	لتنقذ
أفضل	أُفضل
خدمة	خدمتي
مخدر	المُخدّرات
داهم	يداهمنا
مرتفع	المرتفعة
رجل	رجليك
دخن	تدخنين
واجه	سنواجه
نفسى	النفسى
استفاد	أستفيد
وحيد	الوحيدَ
أعطى	وسأعطيك
مانع	تُمانع
مبنى	للمبنى
لكن	لـكن
إياك	إياكِ
قسم	يقسم
مدمر	المدمر
كرسى	الكرسى
فعل	فعـل
استقالة	الاستقالة
اصطناعي	الاصطناعي
عين	عيونهم
شكل	نشكل
اشتغل	يشتغل
بداية	لبداية
نية	النوايا
هلام	الهلام
ساعد	يساعدون
أمن	أمناً
اختلف	أختلف
شقيق	الشقيق
ناتالي	ناتاليا
ميس	ميستك
أسلوب	أسلوبه
عرف	لتعرفي
طلب	طُلب
ضد	ضدّك
قدر	قدراً
بعوض	البعوض
علاج	بالعلاج
حقراء	الحقراء
مصلحة	المصلحة
أجرة	اجرة
مراد	مرادك
مجهز	مجهزة
أدعو	ادعو
محاصر	محاصرين
إعطاء	اعطائي
مقدر	مقدرة
دقيقة	لدقيقتين
دقيقة	لدقائق
فصل	بفصل
رسالة	رسالةً
اغرب	اغربي
أخفض	أخفضوا
سمح	سمحنا
روح	للروح
أظنك	أظنكِ
متزوج	متزوّج
سنة	للسنة
هائل	هائلاً
سري	سريّ
شعر	وشعر
والد	والداً
إحباط	بالإحباط
مصاب	مصابون
امي	وامي
اشتراك	الاشتراك
مر	لمره
نشرة	النشرة
منتظر	منتظرين
جواب	جوابك
طرد	يطرد
فقدان	فقدانه
مخصص	المخصص
رأى	ير
أبعد	أبعدها
رأى	أركِ
اقتلو	اقتلوه
شيء	شيءا
مهنة	مهنته
فقدان	فقدانك
إستيلاء	الإستيلاء
طبي	الطبيّة
انتى	وانتى
مريح	المريح
غاب	تغيبت
وضع	وَضعَ
عصا	بعصا
انقطع	انقطعت
أونيل	اونيل
إنقاذ	انقاذه
كلم	كلمني
شهري	شهرياً
قلنسوة	القلنسوة
فائق	الفائقة
فرق	يفرق
سبب	سببٌ
أعقد	سأعقد
أخ	الأخوين
مستعمل	المستعملة
عالم	عالمه
تدريب	بتدريب
تجريبي	تجريبية
ميا	مياة
انتقل	انتقلوا
عبد	عبدة
ذكر	يُذكر
أن	بِأن
ظابط	الظابط
شرطة	بشرطة
صور	أصور
يبودي	بيبودي
أعمى	اعمى
مخبز	المخبز
طريقة	وطريقة
قبول	بقبول
تفسير	تفسيراً
معا	معاك
ذات	ذاتك
مرحله	المرحله
كلية	كليّة
إفلاس	الإفلاس
ذاك	تانك
دعا	ندعوها
ترك	أتركهم
كف	الكف
ناقش	تناقش
واجب	واجباتي
قبل	قبلتها
ذكاء	ذكاءً
خدمة	خدماتك
بطاقة	ببطاقة
حول	أحول
أغلق	وأغلق
مداعبة	المداعبة
نشر	نشره
بناء	وبناء
شيفر	الشيفرة
سكتة	بسكتة
اقتصادي	الاقتصادية
مجرم	مجرمون
مخنث	المخنث
ديل	ديلين
سرى	تسري
استغل	أستغل
خشب	الأخشاب
أرجواني	الأرجواني
عاد	عدتَ
إرهابي	إرهابيين
بدا	سأبدو
فضل	فضلا
بير	بيره
جهل	الجهل
أعطى	سنعطيك
أمني	أمنيتك
مدرس	المدرس
محب	المحب
غاضب	الغاضبة
أحق	أحقّاً
خدمة	خدمته
تسامح	التسامح
بدل	البدلات
إسقاط	لإسقاط
سلط	السلطه
تغوط	تغوّط
جود	جودا
مشاجرة	المشاجرة
عامل	عوامل
اخت	الاخت
جني	الجني
إهدأ	إهدأوا
جعل	يَجْعلُك
أخبر	يخبرها
وضوح	وضوحاً
منع	منعك
محض	بمحض
أوقع	اوقع
شرب	سنشرب
منقذ	المنقذ
اخبار	اخباره
خوزي	خوزيه
سقط	يسقطون
عرف	يُعرف
عشيق	عشيقي
صديق	لأصدقائي
اشك	لاشك
براعة	البراعة
ازعاج	الازعاج
برد	تبرد
نسي	ينسون
مكون	مكونة
شاهد	تشاهده
أمير	امير
محاسب	المحاسب
مجدد	مجدّدًا
اعتاد	اعتادوا
تدخل	لتدخل
مرض	مرضه
كلي	الكلي
ضر	تضر
شاحن	شاحنه
حب	حبا
دام	سيدوم
لحم	ولحم
قدم	أقدامك
تتركي	تتركيه
ودع	ودعونا
منع	يمنعنا
أريكة	لأريك
أوربي	الأوروبية
عرف	عرفه
أمكن	ويمكنه
رمي	رميها
مخطئ	مخطئه
على	فعليه
تبع	يتبعه
نظر	لننظر
رزم	رزمة
أكمل	لنكمل
اعتبر	أعتبره
كرنب	الكرنب
مخمور	مخموراً
صديق	اصدقائه
متجه	متجهون
قابل	قابله
نبرة	النبرة
واقف	واقفين
تعقب	لتعقب
متفق	متفقون
مقنع	مقنعاً
شر	والشر
ساعد	تساعدها
اسلح	اسلحتكم
ارتياح	الارتياح
هذا	وهـذا
نكس	لينكس
اندماج	الاندماج
هما	فهما
حفر	يحفر
معسكر	معسكرات
لفت	ألفت
اعتقل	اعتقلت
مرفوع	مرفوعة
تطابق	يتطابق
غنيمة	الغنائم
منظمة	المنظمات
طائش	طائشة
صوت	أصوت
تفادي	لتفادي
أرفع	سأرفع
وحيد	الوحيدُ
ترقو	الترقوة
مطعم	بمطعم
شيت	شيتا
تلفون	التلفون
كور	كورين
مرتفع	المرتفع
أبقى	تبقيها
ركب	سأركب
قتل	قتلتم
رئيسيه	الرئيسيه
اقترب	اقتربوا
معروف	معروفين
أغر	الغراء
مهجور	المهجورة
مسابقة	مسابقات
ماركة	ماركت
مؤلم	المؤلم
خزانة	خزائن
رسالة	رسالته
طعن	طعنه
خيب	أخيب
اتف	لاتفهم
تاريخ	تاريخه
حماية	وحماية
أان	أانت
بحث	وأبحث
منظور	المنظور
اشترك	تشترك
مخيلة	مخيلتي
معظم	لمعظم
درس	تدرسين
جعل	لنجعلها
سودان	السودان
إضطراب	الإضطراب
تحطم	التحطم
أرتكب	أرتكبت
وضع	ووضعها
أصغ	أصغوا
آلى	آلت
صاعق	الصاعق
خزي	الخزي
مباشر	مباشراً
مرتاح	مرتاحين
تمكن	يتمكّن
تحطم	يتحطم
خيار	خيارنا
سبيل	سبيله
مرة	بالمرّة
جميع	جميعاَ
مدمن	المدمن
عقرب	عقارب
تعرض	تعرضه
